"module:";1;;;;2;;;;3;;;;4;;;;5;;;;6;;;;7;;;;8;;;;9;;;;10;;;;11;;;;12;;;;13;;;;14;;;;15;;;;16;;;;17;;;;18;;;;30;;;;
timer1Tic;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;
tMeas;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;120.0;;;;
dtBackLight;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;10.0;;;;
tv0;45.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;40.0;;;;
tv1;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;75.0;;;;
tr0;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;43.0;;;;
tr1;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;46.0;;;;
tVlRxValid;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;30.0;;;;
tempZiSoll;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;20.0;;;;
tempZiTol;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;0.5;;;;


"mod/reg:";1/0;1/1;1/2;1/3;2/0;2/1;2/2;2/3;3/0;3/1;3/2;3/3;4/0;4/1;4/2;4/3;5/0;5/1;5/2;5/3;6/0;6/1;6/2;6/3;7/0;7/1;7/2;7/3;8/0;8/1;8/2;8/3;9/0;9/1;9/2;9/3;10/0;10/1;10/2;10/3;11/0;11/1;11/2;11/3;12/0;12/1;12/2;12/3;13/0;13/1;13/2;13/3;14/0;14/1;14/2;14/3;15/0;15/1;15/2;15/3;16/0;16/1;16/2;16/3;17/0;17/1;17/2;17/3;18/0;18/1;18/2;18/3;30/0;30/1;30/2;30/3;
active;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
motIMin;6;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.0;5.0;5.0;5.0;6.0;5.0;5.0;5.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;
motIMax;71;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;71.0;70.0;70.0;70.0;71.0;70.0;70.0;70.0;71.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;70.0;
tMotDelay;81;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;81.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;81.0;80.0;80.0;80.0;81.0;80.0;80.0;80.0;81.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;80.0;
tMotMin;101;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;101.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;101.0;100.0;100.0;100.0;101.0;100.0;100.0;100.0;101.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
tMotMax;41;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;41.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;41.0;40.0;40.0;40.0;41.0;40.0;40.0;40.0;41.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;40.0;
dtOpen;29;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;29.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;29.0;28.0;28.0;28.0;29.0;28.0;28.0;28.0;29.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;28.0;
dtClose;35;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;35.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;35.0;34.0;34.0;34.0;35.0;34.0;34.0;34.0;35.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;34.0;
dtOffset;3001;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;
dtOpenBit;500;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3001.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;500.0;500.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;
tMotTotal;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;
nMotLimit;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
pFakt;0.11;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.1;0.1;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.1;0.1;0.025;0.025;0.025;0.025;0.02;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.1;0.025;0.025;
iFakt;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
dFakt;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
tauTempVl;300.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;300.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;300.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
tauTempRl;180.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;180.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;180.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
tauM;120.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;120.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;120.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
m2hi;40.1;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;40.1;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;40.1;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;
m2lo;-40.1;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-40.1;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-40.1;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;-50.0;
tMotPause;601;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;601.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;601.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;600.0;
tMotBoost;901;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;901.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;901.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;900.0;
dtMotBoost;2001;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2001.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2001.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;
dtMotBoostBack;2001;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2001.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2001.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;2000.0;
tempTol;2.1;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.1;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.1;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;
